id_tps	name	sex	set	nat	age	weight	height	attractiveness	fem_masc	L	a	b 	R1	L1	R2	L2	R3	L3	laterality
187M] 43	187M	M	CMR16	CMR	20	65.7	171	2.725490196	5.659574468	36.04633333	9.58	6.376666667	282.1108	303.5833	339.3753	283.4612	319.6944	265.7858	R
188M] 45	188M	M	CMR16	CMR	18	74.2	175	2.745098039	5.180851064	33.28466667	8.263	6.013333333	405.5978	397.0943	407.1621	367.1184	413.6466	396.6531	R
189M] 44	189M	M	CMR16	CMR	17	71.8	177	3.529411765	4.978723404	33.81566667	8.533	5.613333333	250.5705	238.27	246.3188	273.8347	289.7184	260.411	R
190M] 47	190M	M	CMR16	CMR	20	73.1	183.5	2.980392157	5.010638298	37.902	11.695	8.808	310.5224	298.2219	342.7312	273.3934	419.2354	266.4543	R
191M] 49	191M	M	CMR16	CMR	18	53.1	158.5	2.941176471	4.946808511	36.73166667	12.36966667	9.323333333	225.2875	237.3742	253.2579	274.5032	224.4051	227.0791	R
192M] 46	192M	M	CMR16	CMR	30	73.2	175.5	2.509803922	5.521276596	43.103	15.309	15.05333333	396.1985	509.1632	383.898	477.1817	340.7257	430.1989	L
193M] 48	193M	M	CMR16	CMR	18	64.3	170	3.058823529	5.234042553	43.00966667	15.95633333	13.77033333	329.3075	451.0029	394.6342	457.942	363.7625	447.2058	R
0	1011	F	CZ16	CZ	21	62.20	166.70	2.364	4.022727273	53.899	16.688	11.14066667	221.3	205.6	200.5	236.3	211.9	222.8	R
1	1041	F	CZ16	CZ	34	54.60	167.20	1.394	2.227272727	59.666333	11.577	15.95466667	221.3	254.4	249.0	272.5	239.2	241.0	R
2	1051	F	CZ16	CZ	26	66.30	161.30	4	5.022727273	59.442333	13.802	11.04633333	200.2	182.3	198.9	209.6	196.0	186.1	R
3	1061	F	CZ16	CZ	29	61.80	163.50	2.576	3.431818182	82.173667	24.474	20.41866667	142.3	181.4	157.7	181.4	176.1	183.2	R
4	2011	F	CZ16	CZ	36	65.40	174.20	2.364	3.568181818	54.218333	15.05166667	19.032	289.5	214.8	275.4	209.6	267.4	221.5	L
5	2021	F	CZ16	CZ	19	60.90	164.30	1.545	2.295454545	59.939333	14.57266667	10.895	172.5	171.2	207.2	162.0	208.5	173.2	R
6	2031	F	CZ16	CZ	33	54.50	160.00	1.758	2.863636364	58.938667	17.70566667	13.513	234.5	191.3	218.1	208.1	234.0	215.7	R
7	2051	F	CZ16	CZ	20	58.30	171.10	2.606	4.204545455	61.414333	12.85133333	11.29866667	171.8	197.1	170.5	176.8	162.7	187.3	R
8	3011	F	CZ16	CZ	31	65.30	176.00	2.606	3.818181818	60.767	17.79366667	13.28433333	231.6	208.5	238.3	240.5	196.0	242.3	R
9	3021	F	CZ16	CZ	25	54.30	166.60	2.152	2.090909091	56.436333	17.659	14.94433333	225.1	202.3	220.4	197.6	230.0	192.0	R
10	4021	F	CZ16	CZ	29	81.20	175.30	1.788	2.818181818	57.379333	24.01	16.32933333	236.0	159.3	237.8	217.0	190.6	235.1	R
11	4031	F	CZ16	CZ	20	70.40	163.70	2.152	3.75	56.514667	18.45466667	11.51966667	169.3	177.5	167.7	174.8	165.2	170.4	R
12	4051	F	CZ16	CZ	22	78.90	164.10	2.848	3.931818182	58.926333	16.43	14.83333333	220.6	228.4	231.1	210.8	209.6	212.5	R
13	4061	F	CZ16	CZ	20	67.90	177.10	3.545	4.840909091	65.15	15.73333333	10.74466667	212.8	172.9	220.4	117.9	206.1	144.3	R
14	4071	F	CZ16	CZ	25	72.00	177.70	2.152	3.659090909	54.771333	25.65633333	14.00966667	304.7	329.5	313.0	298.0	307.8	315.4	L
15	4081	F	CZ16	CZ	21	47.60	163.10	2.273	3.045454545	63.522667	16.909	15.89133333	153.7	174.5	163.8	164.5	162.9	158.9	R
16	4101	F	CZ16	CZ	19	57.20	181.10	3.636	4.227272727	64.771333	15.63766667	15.09366667	251.9	215.7	256.4	223.3	262.7	245.0	R
17	4111	F	CZ16	CZ	25	53.60	164.60	3.545	4.863636364	62.794667	19.37033333	15.03233333	177.0	176.3	159.1	171.8	193.1	165.8	L
18	4141	F	CZ16	CZ	24	61.20	159.10	3.455	3.795454545	59.510667	20.52033333	14.128	202.5	141.2	166.9	171.8	194.9	181.7	R
19	4151	F	CZ16	CZ	21	63.70	174.00	3.758	4.977272727	62.709667	16.90766667	15.744	137.8	212.1	178.8	176.3	162.7	182.8	L
20	4161	F	CZ16	CZ	21	63.70	165.90	1.333	2.818181818	61.275	19.138	13.20266667	136.7	147.0	134.2	124.9	161.1	163.6	R
21	4191	F	CZ16	CZ	20	51.00	161.60	4.667	5.159090909	57.959	19.343	20.803	181.4	208.3	185.3	175.6	177.2	184.6	R
22	4211	F	CZ16	CZ	27	57.00	165.60	2.697	3.590909091	59.972667	17.24066667	13.839	195.8	211.2	187.3	201.4	197.8	187.7	R
23	4221	F	CZ16	CZ	25	58.00	158.60	4	5	65.864667	13.32833333	10.30466667	113.0	147.0	133.8	154.6	163.6	160.9	R
24	4231	F	CZ16	CZ	20	58.20	164.10	2.121	3.590909091	54.550333	23.89866667	14.37366667	211.9	208.1	255.0	209.9	219.7	183.7	R
25	4241	F	CZ16	CZ	20	56.30	180.20	2.394	3.954545455	64.459667	15.11266667	13.38233333	192.4	180.3	218.1	201.1	210.1	223.1	R
26	4251	F	CZ16	CZ	34	63.70	180.00	2.424	3.772727273	59.683333	16.30666667	13.29766667	221.5	199.3	210.5	208.3	191.5	178.5	R
27	5011	F	CZ16	CZ	21	53.10	150.90	1.848	3.681818182	60.842	13.663	10.90733333	113.7	107.9	116.8	111.4	118.1	119.9	R
28	5021	F	CZ16	CZ	26	62.70	170.90	2.848	4.5	61.349333	15.02833333	12.72	135.6	123.5	114.8	129.5	168.0	95.8	R
29	5031	F	CZ16	CZ	26	61.40	162.00	1.848	3.363636364	55.320333	24.21033333	12.45666667	212.8	183.0	219.5	163.6	212.8	169.6	R
30	5041	F	CZ16	CZ	26	56.60	175.60	2.061	3.590909091	62.339	16.81133333	14.09433333	148.6	190.2	147.0	164.7	146.1	166.5	R
31	5051	F	CZ16	CZ	24	70.30	166.80	2.576	3.954545455	60.775	14.198	13.447	125.7	87.7	123.3	80.3	102.9	87.5	R
32	5061	F	CZ16	CZ	20	72.00	177.30	2.03	3.318181818	58.053	17.17033333	15.45733333	228.0	233.1	250.1	237.1	248.6	224.4	R
33	5071	F	CZ16	CZ	21	52.00	166.80	3.515	4.568181818	64.540333	16.22166667	12.68566667	223.7	196.0	184.1	217.9	216.6	215.4	R
34	5091	F	CZ16	CZ	24	97.40	175.00	1.485	3.295454545	55.564	22.33033333	12.51866667	288.8	277.4	238.7	244.8	236.9	232.0	R
35	5101	F	CZ16	CZ	20	61.90	158.50	1.667	1.636363636	61.556	13.13966667	11.16166667	202.0	187.9	191.7	173.4	194.9	184.4	R
36	5111	F	CZ16	CZ	21	57.50	173.30	3.485	4.931818182	62.734667	15.54966667	13.61	214.8	229.8	214.1	199.6	220.6	208.1	R
37	5121	F	CZ16	CZ	21	55.60	172.40	3.909	4.636363636	62.113	13.33633333	10.99433333	104.7	101.4	104.7	93.1	78.8	87.1	L
38	5141	F	CZ16	CZ	21	57.00	156.30	2.242	3.545454545	59.986	18.50066667	17.615	148.3	136.0	154.4	144.1	109.9	136.6	L
39	5151	F	CZ16	CZ	23	71.30	171.00	1.848	3.272727273	60.026333	19.82133333	13.43533333	265.1	230.7	226.9	244.1	222.8	228.9	R
40	5161	F	CZ16	CZ	20	60.70	166.40	2	3.204545455	59.424	20.04966667	13.40533333	220.4	232.7	239.8	231.8	244.3	240.7	L
41	5171	F	CZ16	CZ	20	62.20	170.00	4.394	4.840909091	59.654333	20.16233333	13.91366667	170.0	152.1	196.2	167.4	192.0	168.9	R
42	5181	F	CZ16	CZ	26	60.10	173.40	3.848	4.636363636	58.711	NA	NA	198.0	192.2	187.0	221.5	188.4	214.3	R
43	5191	F	CZ16	CZ	21	69.80	167.50	1.788	3.068181818	59.082	18.07133333	12.61766667	101.4	126.9	122.8	158.0	139.8	164.9	R
44	5211	F	CZ16	CZ	22	52.80	159.00	3.667	4.772727273	60.19166667	NA	NA	108.5	127.8	139.6	134.9	125.1	147.2	R
45	5231	F	CZ16	CZ	25	78.70	178.60	3.152	4.863636364	57.818667	19.54933333	11.55166667	180.1	177.0	218.6	184.6	182.6	190.0	R
46	6051	F	CZ16	CZ	19	63.50	178.20	3.242	4.75	58.419333	19.48466667	12.5	219.3	185.3	231.1	182.8	225.1	186.1	R
47	6091	F	CZ16	CZ	21	63.80	163.80	2.455	4.090909091	60.303333	19.92733333	12.55233333	254.4	235.4	259.7	210.5	251.5	217.9	R
48	6121	F	CZ16	CZ	27	75.00	174.50	2.455	3.931818182	58.142667	18.795	13.20766667	276.3	265.1	292.8	268.7	294.2	252.4	R
49	6131	F	CZ16	CZ	20	66.40	174.40	3.545	4.954545455	59.435333	15.628	11.20166667	93.3	140.5	148.8	147.7	131.6	153.7	R
0	2040	M	CZ16	CZ	31	66.90	178.50	2.44944	4.090909091	55.315	16.34366667	16.18833333	301.6	329.8	281.2	358.2	287.7	341.2	R
1	4042	M	CZ16	CZ	28	69.90	166.70	2.10112	4.402597403	61.403	15.69866667	12.818	316.3	329.1	300.0	295.1	248.6	284.6	R
2	4090	M	CZ16	CZ	21	71.80	187.10	2.67416	4.458874459	61.522	17.83433333	14.20533333	378.5	356.6	358.6	335.4	373.8	351.5	R
3	4120	M	CZ16	CZ	24	75.70	181.40	1.91011	3.41991342	56.44266667	19.71066667	13.50666667	377.0	304.7	335.6	330.7	363.8	299.1	R
4	4130	M	CZ16	CZ	26	88.90	192.80	1.78652	4.16017316	62.02366667	15.06833333	12.67133333	474.7	366.2	403.6	369.4	393.1	359.7	R
5	4170	M	CZ16	CZ	24	81.30	190.90	3.20225	4.489177489	58.752	22.19666667	16.8	396.9	372.9	376.1	336.9	332.9	349.9	R
6	4200	M	CZ16	CZ	30	84.50	188.00	3.38202	5.138528139	59.45766667	19.142	13.262	302.0	116.8	302.9	114.6	354.4	132.0	R
7	6060	M	CZ16	CZ	29	67.70	168.00	2.24719	5.264069264	52.64066667	18.72033333	13.309	274.1	312.8	321.0	370.0	322.2	331.8	R
8	6080	M	CZ16	CZ	22	56.60	186.50	3.01124	3.714285714	58.22333333	17.50933333	14.87266667	293.3	251.9	325.5	285.0	301.8	271.8	R
9	7040	M	CZ16	CZ	20	68.80	179.40	2.38202	4.294372294	58.83666667	18.20566667	14.26966667	268.5	236.5	256.2	267.8	218.6	225.7	R
